rank_test_score,mean_test_score,std_test_score,mean_fit_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree
1,0.6160662653048186,0.02485101765279072,0.22379589080810547,0.85,1.5,0.01,200,3,3,0.03,0.0,0.7
2,0.6100691049208578,0.01663948831964513,0.537864351272583,0.85,1.0,0.5,500,3,3,0.03,0.3,1.0
3,0.6076794150385215,0.02192081875296811,0.11696534156799317,0.85,1.5,0.1,100,3,2,0.2,0.1,0.85
4,0.6067733205606969,0.018872894174505207,0.34125194549560545,0.85,1.5,0.1,300,5,3,0.05,0.1,1.0
5,0.6061406622480405,0.017762905389113754,0.7904812812805175,0.7,1.0,0.5,300,3,4,0.05,0.1,0.7
6,0.6049294642489901,0.016139237287249867,0.31441702842712405,1.0,2.0,0.5,500,7,3,0.1,0.1,0.7
7,0.6042926966395675,0.02553871385844653,0.24265532493591307,0.85,2.0,0.1,200,1,4,0.03,0.0,0.85
8,0.6039810958947486,0.019844963297495702,0.46672663688659666,1.0,1.5,0.5,500,3,3,0.03,0.0,0.7
9,0.6031382924603805,0.02121880720110863,0.2674983024597168,0.85,1.0,0.0,300,7,2,0.1,0.0,0.7
10,0.6029793473548422,0.020562609212762574,0.20978250503540039,1.0,1.5,0.01,200,3,3,0.1,0.0,0.85
11,0.6026188108204014,0.020045392240905107,0.3200391292572021,0.7,1.5,0.0,200,7,4,0.05,0.1,0.7
12,0.6024098477036192,0.02264716078197756,0.2218503475189209,1.0,1.5,0.1,500,7,2,0.2,0.3,0.85
13,0.6011101345608921,0.020484179420476527,0.3762494087219238,0.7,1.0,0.1,300,7,3,0.1,0.1,1.0
14,0.6008200218503823,0.01978511367039006,0.244728422164917,0.7,1.0,0.5,100,3,6,0.05,0.3,0.85
15,0.600466984356686,0.017634967768627496,0.22803030014038086,0.85,1.5,0.5,200,5,3,0.2,0.0,0.85
16,0.6004511979165242,0.02366595626309398,0.3558870792388916,1.0,1.0,0.0,500,5,4,0.03,0.3,0.85
17,0.5993018083182239,0.01846914819798826,0.45950918197631835,0.7,1.0,0.1,500,7,3,0.05,0.1,1.0
18,0.5991920392754164,0.018271595980277725,0.11611084938049317,1.0,1.0,0.1,100,5,4,0.1,0.3,0.85
19,0.5989041562839128,0.02257180493970561,0.3674276351928711,0.7,2.0,0.0,200,5,6,0.03,0.0,0.85
20,0.5986963351339831,0.017792732335119257,0.3547237396240234,0.7,1.5,0.1,200,1,5,0.05,0.1,1.0
21,0.5978974093622206,0.014488005571440385,0.3353090763092041,1.0,2.0,0.01,500,5,4,0.1,0.3,0.85
22,0.5972411910563399,0.01742401647564599,0.15885934829711915,0.7,2.0,0.01,100,7,6,0.1,0.3,0.7
23,0.5963276018426761,0.018355480634348432,0.31560096740722654,1.0,2.0,0.5,200,5,6,0.03,0.3,0.85
24,0.596018609826003,0.018230326958450966,0.5306236743927002,0.85,1.5,0.0,300,7,6,0.03,0.0,1.0
25,0.5939587435568465,0.0074058375004646725,0.2241826057434082,1.0,1.5,0.5,200,3,5,0.1,0.0,1.0
26,0.5933672579266179,0.016002955598624018,0.42821416854858396,1.0,1.0,0.01,500,5,5,0.03,0.3,0.85
27,0.5930659248958706,0.020584598264840003,0.35574955940246583,0.85,1.0,0.0,200,7,6,0.05,0.3,0.7
28,0.5920430242221737,0.011174200553077404,0.13832516670227052,0.7,2.0,0.0,100,7,5,0.2,0.1,0.85
29,0.5894815277322137,0.015284951824889113,0.1624584674835205,0.85,1.0,0.0,100,1,5,0.2,0.3,0.85
30,0.5878966713378159,0.025253653442817478,0.18165993690490723,1.0,2.0,0.1,100,5,6,0.03,0.3,0.7
31,0.5868160841413281,0.01849267506527877,0.19752321243286133,1.0,2.0,0.5,300,3,6,0.2,0.3,1.0
32,0.5867512199604203,0.01816862056566468,0.23398404121398925,0.85,2.0,0.01,100,3,6,0.03,0.1,1.0
33,0.5866561458121607,0.019584926493523933,0.15742101669311523,1.0,1.0,0.01,100,7,6,0.03,0.0,0.7
34,0.5858739263942119,0.018970721693404954,0.31821379661560056,0.85,2.0,0.1,200,1,6,0.1,0.3,0.85
35,0.5852442616294807,0.017392390600781935,0.5386594772338867,0.7,1.0,0.01,500,5,3,0.2,0.3,0.85
36,0.585183984254075,0.0235440904652293,0.1929245948791504,0.7,1.0,0.1,100,1,5,0.03,0.1,1.0
37,0.5800668350928763,0.022240271937558006,0.829900074005127,0.85,1.0,0.1,500,1,6,0.05,0.0,0.7
38,0.5791503799700042,0.013173393662721824,0.1323781967163086,0.7,1.0,0.1,100,7,6,0.2,0.0,0.7
39,0.577894511861311,0.014871439186726801,0.22223639488220215,0.85,2.0,0.0,200,1,4,0.2,0.3,0.85
40,0.5689820107311083,0.01785526470247433,0.762244462966919,0.85,1.5,0.5,500,1,5,0.1,0.1,0.85
